UPDTICK_0;BPSNUM_0;BPSNAM_0;BPSSHO_0;BPSTYP_0;BSGCOD_0;BPRPAY_0;BPAPAY_0;BPSINV_0;BPAINV_0;BPSGRU_0;BPSRSK_0;BPCNUMBPS_0;BPTNUM_0;CNTNAM_0;LOC_0;ABCCLS_0;UVYCOD_0;CUR_0;CHGTYP_0;PTE_0;DEP_0;VACBPR_0;MDL_0;EECICT_0;EECLOC_0;TSSCOD_0;TSSCOD_1;TSSCOD_2;TSSCOD_3;TSSCOD_4;INVDTAAMT_0;INVDTAAMT_1;INVDTAAMT_2;INVDTAAMT_3;INVDTAAMT_4;INVDTAAMT_5;INVDTAAMT_6;INVDTAAMT_7;INVDTAAMT_8;INVDTAAMT_9;INVDTAAMT_10;INVDTAAMT_11;INVDTAAMT_12;INVDTAAMT_13;INVDTAAMT_14;INVDTAAMT_15;INVDTAAMT_16;INVDTAAMT_17;INVDTAAMT_18;INVDTAAMT_19;INVDTAAMT_20;INVDTAAMT_21;INVDTAAMT_22;INVDTAAMT_23;INVDTAAMT_24;INVDTAAMT_25;INVDTAAMT_26;INVDTAAMT_27;INVDTAAMT_28;INVDTAAMT_29;INVDTA_0;INVDTA_1;INVDTA_2;INVDTA_3;INVDTA_4;INVDTA_5;INVDTA_6;INVDTA_7;INVDTA_8;INVDTA_9;INVDTA_10;INVDTA_11;INVDTA_12;INVDTA_13;INVDTA_14;INVDTA_15;INVDTA_16;INVDTA_17;INVDTA_18;INVDTA_19;INVDTA_20;INVDTA_21;INVDTA_22;INVDTA_23;INVDTA_24;INVDTA_25;INVDTA_26;INVDTA_27;INVDTA_28;INVDTA_29;AMTCOD_0;AMTCOD_1;AMTCOD_2;AMTCOD_3;AMTCOD_4;AMTCOD_5;AMTCOD_6;AMTCOD_7;AMTCOD_8;AMTCOD_9;AMTCOD_10;AMTCOD_11;AMTCOD_12;AMTCOD_13;AMTCOD_14;AMTCOD_15;AMTCOD_16;AMTCOD_17;AMTCOD_18;AMTCOD_19;AMTCOD_20;AMTCOD_21;AMTCOD_22;AMTCOD_23;AMTCOD_24;AMTCOD_25;AMTCOD_26;AMTCOD_27;AMTCOD_28;AMTCOD_29;PLISTC_0;PAYBAN_0;ACCCOD_0;DIE_0;DIE_1;DIE_2;DIE_3;DIE_4;DIE_5;DIE_6;DIE_7;DIE_8;DIE_9;DIE_10;DIE_11;DIE_12;DIE_13;DIE_14;DIE_15;DIE_16;DIE_17;DIE_18;DIE_19;CCE_0;CCE_1;CCE_2;CCE_3;CCE_4;CCE_5;CCE_6;CCE_7;CCE_8;CCE_9;CCE_10;CCE_11;CCE_12;CCE_13;CCE_14;CCE_15;CCE_16;CCE_17;CCE_18;CCE_19;BPAADD_0;SEVLIN_0;ORDTEX_0;RTNTEX_0;LTIMRKCOE_0;PRIMRKCOE_0;QLYMRKCOE_0;QTYMRKCOE_0;RSKMRKCOE_0;LTIMRK_0;PRIMRK_0;QLYMRK_0;QTYMRK_0;RSKMRK_0;GENMRK_0;ORDMINAMT_0;OSTCTL_0;OSTAUZAMT_0;EECINCRAT_0;BPSREM_0;DUDCLC_0;CURCLC_0;FUPFLG_0;OCNFLG_0;DADFLG_0;PRVNUM_0;DOUFLG_0;ENAFLG_0;PAYLOKFLG_0;NORPRNFLG_0;NREPRNFLG_0;NRTPRNFLG_0;RITCOD_0;RITCOD_1;RITCOD_2;RITCOD_3;RITCOD_4;RITCOD_5;RITCOD_6;RITCOD_7;RITCOD_8;RITCOD_9;RITCOD_10;RITCOD_11;RITCOD_12;RITCOD_13;RITCOD_14;RITCOD_15;RITCOD_16;RITCOD_17;RITCOD_18;RITCOD_19;RITCOD_20;RITCOD_21;RITCOD_22;RITCOD_23;RITCOD_24;RITCOD_25;RITCOD_26;RITCOD_27;RITCOD_28;RITCOD_29;RITNBR_0;RITRAT_0;RITPARNBR_0;RITPARNAM_0;RITPARNAM_1;RITPARNAM_2;RITPARNAM_3;RITPARNAM_4;RITPARNAM_5;RITPARNAM_6;RITPARNAM_7;RITPARNAM_8;RITPARNAM_9;RITPARCOE_0;RITPARCOE_1;RITPARCOE_2;RITPARCOE_3;RITPARCOE_4;RITPARCOE_5;RITPARCOE_6;RITPARCOE_7;RITPARCOE_8;RITPARCOE_9;CAI_0;DATVLYCAI_0;AGTPCP_0;AGTSATTAX_0;SATTAX_0;FLGSATTAX_0;BPCNUM_0;TPMCOD_0;DIA_0;IPTEXS_0;EXPNUM_0;CREUSR_0;CREDAT_0;UPDUSR_0;UPDDAT_0;MATTOL_0;FRM1099_0;BOX1099_0;CREDATTIM_0;UPDDATTIM_0;AUUID_0;FLG281_0;PURPRITYP_0;CSHVAT_0;CSHDAT_0;AUTINVCOD_0;ORDFREFRT_0;BPRDSP_0;REXNUM_0;WLFLG_0;YAPPROB_0;YCLASS_0;XNUMG_0;XDOMACT_0;ROWID
8;FE661;IPC INTERNATIONAL;IPC INTERN;1;FE;FE661;AD;FE661;AD;FE661;FE661;" ";" ";" ";" ";1;" ";USD;1;PAIEMAVANCE;" ";EXO;" ";" ";1;" ";" ";FAB;" ";" ";0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;" ";" ";FRETR;AX1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";AD;2;" ";" ";5.0000000;1.0000000;5.0000000;1.0000000;1.0000000;0.000;0.000;0.000;0.000;0.000;0.000;0.0000000000000;1;0.0000000000000;0.000;" ";2;1;1;1;1;" ";1;1;1;1;1;1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0;0.000;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;" ";1753-01-01 00:00:00.000;0;0;" ";0;" ";" ";" ";" ";452;NOAS;2022-05-11 00:00:00.000;IBMA;2025-02-20 00:00:00.000;" ";0;" ";2022-05-11 09:35:40.000;2025-02-20 10:42:52.000;0x9303D7FB53160744AF3FC7E3CE412F73;0;1;0;1753-01-01 00:00:00.000;" ";0.0000000000000;" ";" ";0;0;5;" ";0;1
11;FE648;"Bdtronic ";"Bdtronic ";1;FE;FE648;AD;FE648;AD;FE648;FE648;" ";" ";AD;" ";1;" ";EUR;1;VIR45J;" ";EXO;" ";" ";1;" ";" ";DIV;DIV;" ";0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;" ";" ";FRETR;AX1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";AD;2;" ";" ";5.0000000;1.0000000;5.0000000;1.0000000;1.0000000;0.000;0.000;0.000;0.000;0.000;0.000;0.0000000000000;1;0.0000000000000;0.000;" ";2;1;1;1;1;" ";1;2;1;1;1;1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0;0.000;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;" ";1753-01-01 00:00:00.000;0;0;" ";0;" ";" ";" ";" ";472;INBH;2021-12-15 00:00:00.000;MAMA;2025-04-09 00:00:00.000;" ";0;" ";2021-12-15 14:28:16.000;2025-04-09 13:43:31.000;0x9A39D4128914104AB56CB7A62B43BC52;0;1;0;1753-01-01 00:00:00.000;" ";0.0000000000000;" ";" ";0;2;1;" ";0;2
13;FE657;"PIE DIFFUSION  ";PIE DIFFUS;1;FE;FE657;AD;FE657;AD;FE657;FE657;" ";" ";000000000000935;" ";1;" ";EUR;1;VIR30FM;" ";EXO;" ";" ";1;" ";" ";DIV;DIV;" ";0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;" ";" ";FRETR;AX1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";AD;2;" ";" ";5.0000000;1.0000000;5.0000000;1.0000000;1.0000000;0.000;0.000;0.000;0.000;0.000;0.000;0.0000000000000;1;0.0000000000000;0.000;" ";2;1;1;1;1;" ";1;1;1;1;1;1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0;0.000;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;" ";1753-01-01 00:00:00.000;0;0;" ";0;" ";" ";" ";" ";472;NOAS;2022-04-27 00:00:00.000;MAMA;2025-04-11 00:00:00.000;" ";0;" ";2022-04-27 09:59:18.000;2025-04-11 15:05:01.000;0xB5658DFDE6592446A72C5023E30E7EE9;0;1;0;1753-01-01 00:00:00.000;" ";0.0000000000000;" ";" ";0;2;5;" ";0;3
7;FE658;MULTI-FLEX CIRCUITS AUSTRALIA;MULTI-FLEX;1;FE;FE658;AD;FE658;AD;FE658;FE658;" ";" ";000000000000936;" ";1;" ";EUR;1;VIR30FM;" ";EXO;" ";" ";1;" ";" ";FAB;" ";" ";0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;" ";" ";FRETR;AX1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";AD;2;" ";" ";5.0000000;1.0000000;5.0000000;1.0000000;1.0000000;0.000;0.000;0.000;0.000;0.000;0.000;0.0000000000000;1;0.0000000000000;0.000;" ";2;1;1;1;1;" ";1;1;1;1;1;1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0;0.000;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;" ";1753-01-01 00:00:00.000;0;0;" ";0;" ";" ";" ";" ";452;NOAS;2022-04-27 00:00:00.000;IBMA;2025-02-20 00:00:00.000;" ";0;" ";2022-04-27 10:09:38.000;2025-02-20 10:42:52.000;0x0F07432F21064C4DBF4AAACD23CF07D4;0;1;0;1753-01-01 00:00:00.000;" ";0.0000000000000;" ";" ";0;0;5;" ";0;4
7;FE230;PIETROBELLI ELETTRONICA SRL;PIETROBELL;1;" ";FE230;AD;FE230;AD;" ";FE230;" ";FE448;000000000000535;" ";4;" ";EUR;1;VIR30J;" ";EXO;1;EXW;1;1;2;DIS;DIV;" ";0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;" ";" ";FRETR;AX1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";AD;2;" ";" ";1.0000000;1.0000000;1.0000000;1.0000000;1.0000000;0.000;0.000;0.000;0.000;0.000;0.000;0.0000000000000;1;0.0000000000000;1.000;" ";2;1;1;1;1;" ";1;1;1;2;2;2;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0;0.000;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;" ";1753-01-01 00:00:00.000;0;0;" ";0;" ";" ";" ";" ";476;OUFA;2007-09-04 00:00:00.000;INBH;2026-01-26 00:00:00.000;" ";0;" ";2007-09-04 00:00:00.000;2026-01-26 15:29:59.000;0x4718BD3DD4C8444782707A9E02D6411D;0;1;0;1753-01-01 00:00:00.000;" ";0.0000000000000;" ";" ";0;1;5;" ";0;5
10;FL574;GT Consulting;GT CONSULT;1;FL;FL574;AD;FL574;AD;FL574;FL574;" ";" ";000000000000941;" ";1;" ";TND;1;COMPTANT;" ";EXO;" ";" ";1;" ";" ";DIV;DIV;" ";0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;" ";" ";FRLOC;AX1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";AD;2;" ";" ";5.0000000;1.0000000;5.0000000;1.0000000;1.0000000;0.000;0.000;0.000;0.000;0.000;0.000;0.0000000000000;1;0.0000000000000;0.000;" ";2;1;1;1;1;" ";1;2;1;1;1;1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0;0.000;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;" ";1753-01-01 00:00:00.000;0;0;" ";0;" ";" ";" ";" ";452;NOAS;2022-05-18 00:00:00.000;IBMA;2025-02-20 00:00:00.000;" ";0;" ";2022-05-18 09:54:31.000;2025-02-20 10:42:53.000;0xE3D103A6217A6540899456DB49FECB63;0;1;0;1753-01-01 00:00:00.000;" ";0.0000000000000;" ";" ";0;2;0;" ";0;6
5;FE668;WITTI;WITTI;1;FE;FE668;AD;FE668;AD;FE668;FE668;" ";" ";AD;" ";1;" ";EUR;1;SANSPAIEMENT;" ";EXO;" ";" ";1;" ";" ";BRO;" ";" ";0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;" ";" ";FRETR;AX1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";AD;2;" ";" ";5.0000000;1.0000000;5.0000000;1.0000000;1.0000000;0.000;0.000;0.000;0.000;0.000;0.000;0.0000000000000;1;0.0000000000000;0.000;" ";2;1;1;1;1;" ";1;1;1;1;1;1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0;0.000;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;" ";1753-01-01 00:00:00.000;0;0;" ";0;" ";" ";" ";" ";472;INBH;2022-05-25 00:00:00.000;MAMA;2025-04-08 00:00:00.000;" ";0;" ";2022-05-25 13:46:51.000;2025-04-08 12:48:17.000;0xA46BC902F3A5E744949F66E062FC3648;0;1;0;1753-01-01 00:00:00.000;" ";0.0000000000000;" ";" ";0;1;5;" ";0;7
8;FL575;NIELSEN SARL;NIELSEN SA;1;FL;FL575;AD;FL575;AD;FL575;FL575;" ";" ";" ";" ";1;" ";TND;1;CHEQUE;" ";EXO;" ";" ";1;" ";" ";DIV;DIV;" ";0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;" ";" ";FRLOC;AX1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";AD;2;" ";" ";5.0000000;1.0000000;5.0000000;1.0000000;1.0000000;0.000;0.000;0.000;0.000;0.000;0.000;0.0000000000000;1;0.0000000000000;0.000;" ";2;1;1;1;1;" ";1;2;1;1;1;1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0;0.000;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;" ";1753-01-01 00:00:00.000;0;0;" ";0;" ";" ";" ";" ";452;NOAS;2022-05-26 00:00:00.000;IBMA;2025-02-20 00:00:00.000;" ";0;" ";2022-05-26 12:13:20.000;2025-02-20 10:42:53.000;0xEA3C9DB75EAFDD45B6C45A1F32764F42;0;1;0;1753-01-01 00:00:00.000;" ";0.0000000000000;" ";" ";0;2;0;" ";0;8
8;FE672;FASTPOINT SRL;FASTPOINT;1;FE;FE672;AD;FE672;AD;FE672;FE672;" ";" ";" ";" ";1;" ";EUR;1;PAIEMAVANCE;" ";EXO;" ";" ";1;" ";" ";FAB;" ";" ";0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;" ";" ";FRETR;AX1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";AD;2;" ";" ";5.0000000;1.0000000;5.0000000;1.0000000;1.0000000;0.000;0.000;0.000;0.000;0.000;0.000;0.0000000000000;1;0.0000000000000;0.000;" ";2;1;1;1;1;" ";1;2;1;1;1;1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0;0.000;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;" ";1753-01-01 00:00:00.000;0;0;" ";0;" ";" ";" ";" ";452;NOAS;2022-06-16 00:00:00.000;IBMA;2025-02-20 00:00:00.000;" ";0;" ";2022-06-16 14:50:54.000;2025-02-20 10:42:53.000;0x97E9D6BFC6131849AD4DBDF3F5D5B9C9;0;1;0;1753-01-01 00:00:00.000;" ";0.0000000000000;" ";" ";0;2;0;" ";0;9
7;FE662;PalPilot International;PalPilot I;1;FE;FE662;AD;FE662;AD;FE662;FE662;" ";" ";000000000000939;" ";1;" ";EUR;1;PAIEMAVANCE;" ";EXO;" ";" ";1;" ";" ";FAB;" ";" ";0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;" ";" ";FRETR;AX1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";AD;2;" ";" ";5.0000000;1.0000000;5.0000000;1.0000000;1.0000000;0.000;0.000;0.000;0.000;0.000;0.000;0.0000000000000;1;0.0000000000000;0.000;" ";2;1;1;1;1;" ";1;2;1;1;1;1;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0;0.000;0;" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;" ";1753-01-01 00:00:00.000;0;0;" ";0;" ";" ";" ";" ";452;INBH;2022-05-12 00:00:00.000;IBMA;2025-02-20 00:00:00.000;" ";0;" ";2022-05-12 08:32:04.000;2025-02-20 10:42:54.000;0xAA75D7A1E818B74DAF536C577C5780CC;0;1;0;1753-01-01 00:00:00.000;" ";0.0000000000000;" ";" ";0;2;0;" ";0;10
